EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 16:27:56"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF03
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF03_seal100
StartYear,1974

Data,CatchFleetGroup

TimeStep,Fleet,Group,Value
160,1,17,0.06583497
160,1,18,0.09694129
160,2,13,0.02537915
160,2,14,0.170314
160,3,11,0.002395349
160,3,12,0.04624512
161,1,17,0.06364474
161,1,18,0.09726007
161,2,13,0.02562191
161,2,14,0.1627057
161,3,11,0.002456208
161,3,12,0.04141374
162,1,17,0.06149122
162,1,18,0.09743346
162,2,13,0.02587231
162,2,14,0.1544738
162,3,11,0.002473403
162,3,12,0.03693392
163,1,17,0.05860027
163,1,18,0.09810856
163,2,13,0.02614129
163,2,14,0.145523
163,3,11,0.002428619
163,3,12,0.03292476
164,1,17,0.05579507
164,1,18,0.09854865
164,2,13,0.02613653
164,2,14,0.1364894
164,3,11,0.002318614
164,3,12,0.02947056
165,1,17,0.053073
165,1,18,0.09873724
165,2,13,0.02575565
165,2,14,0.1276096
165,3,11,0.002152849
165,3,12,0.02659778
166,1,17,0.05042863
166,1,18,0.09864167
166,2,13,0.02496486
166,2,14,0.1190871
166,3,11,0.001950157
166,3,12,0.02428841
167,1,17,0.04785827
167,1,18,0.09822568
167,2,13,0.0237972
167,2,14,0.1110857
167,3,11,0.001730501
167,3,12,0.02248798
168,1,17,0.04536764
168,1,18,0.09746256
168,2,13,0.02233076
168,2,14,0.1037261
168,3,11,0.001508896
168,3,12,0.02112418
169,1,17,0.05273366
169,1,18,0.09454223
169,2,13,0.03650728
169,2,14,0.09578827
169,3,11,0.0003452628
169,3,12,0.02021114
170,1,17,0.0497762
170,1,18,0.09318285
170,2,13,0.03579914
170,2,14,0.09102252
170,3,11,0.0003211151
170,3,12,0.02043794
171,1,17,0.04719086
171,1,18,0.09166088
171,2,13,0.03616968
171,2,14,0.08785135
171,3,11,0.0003038883
171,3,12,0.02165397
172,1,17,0.04493087
172,1,18,0.09000671
172,2,13,0.03650241
172,2,14,0.08604496
172,3,11,0.0002830729
172,3,12,0.02352113
173,1,17,0.04291033
173,1,18,0.08821488
173,2,13,0.03636
173,2,14,0.08527189
173,3,11,0.0002576603
173,3,12,0.02564112
174,1,17,0.04106868
174,1,18,0.08632448
174,2,13,0.03582771
174,2,14,0.08518358
174,3,11,0.0002315957
174,3,12,0.02767733
175,1,17,0.04029336
175,1,18,0.08337937
175,2,13,0.035232
175,2,14,0.08533671
175,3,11,0.0002116377
175,3,12,0.02936538
176,1,17,0.03958429
176,1,18,0.08058438
176,2,13,0.03461695
176,2,14,0.08569831
176,3,11,0.0001990929
176,3,12,0.03064863
177,1,17,0.03889577
177,1,18,0.07797197
177,2,13,0.03409577
177,2,14,0.08614964
177,3,11,0.0001957702
177,3,12,0.03152884
178,1,17,0.03818704
178,1,18,0.07556143
178,2,13,0.03374014
178,2,14,0.08661923
178,3,11,0.0002026377
178,3,12,0.0320525
179,1,17,0.0374291
179,1,18,0.07335999
179,2,13,0.03359782
179,2,14,0.08706369
179,3,11,0.0002202827
179,3,12,0.03227831
180,1,17,0.0366068
180,1,18,0.07136592
180,2,13,0.03370186
180,2,14,0.08745577
180,3,11,0.0002490156
180,3,12,0.03226318
181,1,17,0.03514301
181,1,18,0.08912162
