EwEVersion,"6.5.13829.0 (compiled 2016-05-17)"
Date,"2016-09-06 18:44:30"
ModelName,Baltic_Proper-SEALS
EcosimScenario,Proper1_SealVuln100_19742100_seal0_cofF1
TimeSeries,new_data_weights_19742100_BAU_WAR1_codF1_seal0
StartYear,1974

Data,MortFleetGroup

Year,Fleet,Group,Value
2070,2,14,0.1573054
2070,3,11,0.0293207
2070,3,12,0.1023732
2071,1,17,0.2096243
2071,1,18,0.4755878
2071,2,13,0.09015363
2071,2,14,0.1573054
2071,3,11,0.0293207
2071,3,12,0.1023732
2072,1,17,0.2096243
2072,1,18,0.4755878
2072,2,13,0.09015363
2072,2,14,0.1573054
2072,3,11,0.0293207
2072,3,12,0.1023732
2073,1,17,0.2096243
2073,1,18,0.4755878
2073,2,13,0.09015363
2073,2,14,0.1573054
2073,3,11,0.0293207
2073,3,12,0.1023732
2074,1,17,0.2096243
2074,1,18,0.4755878
2074,2,13,0.09015363
2074,2,14,0.1573054
2074,3,11,0.0293207
2074,3,12,0.1023732
2075,1,17,0.2096243
2075,1,18,0.4755878
2075,2,13,0.09015363
2075,2,14,0.1573054
2075,3,11,0.0293207
2075,3,12,0.1023732
2076,1,17,0.2096243
2076,1,18,0.4755878
2076,2,13,0.09015363
2076,2,14,0.1573054
2076,3,11,0.0293207
2076,3,12,0.1023732
2077,1,17,0.2096243
2077,1,18,0.4755878
2077,2,13,0.09015363
2077,2,14,0.1573054
2077,3,11,0.0293207
2077,3,12,0.1023732
2078,1,17,0.2096243
2078,1,18,0.4755878
2078,2,13,0.09015363
2078,2,14,0.1573054
2078,3,11,0.0293207
2078,3,12,0.1023732
2079,1,17,0.2096243
2079,1,18,0.4755878
2079,2,13,0.09015363
2079,2,14,0.1573054
2079,3,11,0.0293207
2079,3,12,0.1023732
2080,1,17,0.2096243
2080,1,18,0.4755878
2080,2,13,0.09015363
2080,2,14,0.1573054
2080,3,11,0.0293207
2080,3,12,0.1023732
2081,1,17,0.2096243
2081,1,18,0.4755878
2081,2,13,0.09015363
2081,2,14,0.1573054
2081,3,11,0.0293207
2081,3,12,0.1023732
2082,1,17,0.2096243
2082,1,18,0.4755878
2082,2,13,0.09015363
2082,2,14,0.1573054
2082,3,11,0.0293207
2082,3,12,0.1023732
2083,1,17,0.2096243
2083,1,18,0.4755878
2083,2,13,0.09015363
2083,2,14,0.1573054
2083,3,11,0.0293207
2083,3,12,0.1023732
2084,1,17,0.2096243
2084,1,18,0.4755878
2084,2,13,0.09015363
2084,2,14,0.1573054
2084,3,11,0.0293207
2084,3,12,0.1023732
2085,1,17,0.2096243
2085,1,18,0.4755878
2085,2,13,0.09015363
2085,2,14,0.1573054
2085,3,11,0.0293207
2085,3,12,0.1023732
2086,1,17,0.2096243
2086,1,18,0.4755878
2086,2,13,0.09015363
2086,2,14,0.1573054
2086,3,11,0.0293207
2086,3,12,0.1023732
2087,1,17,0.2096243
2087,1,18,0.4755878
2087,2,13,0.09015363
2087,2,14,0.1573054
2087,3,11,0.0293207
2087,3,12,0.1023732
2088,1,17,0.2096243
2088,1,18,0.4755878
2088,2,13,0.09015363
2088,2,14,0.1573054
2088,3,11,0.0293207
2088,3,12,0.1023732
2089,1,17,0.2096243
2089,1,18,0.4755878
2089,2,13,0.09015363
2089,2,14,0.1573054
2089,3,11,0.0293207
2089,3,12,0.1023732
2090,1,17,0.2096243
2090,1,18,0.4755878
2090,2,13,0.09015363
2090,2,14,0.1573054
2090,3,11,0.0293207
2090,3,12,0.1023732
2091,1,17,0.2096243
2091,1,18,0.4755878
2091,2,13,0.09015363
2091,2,14,0.1573054
2091,3,11,0.0293207
2091,3,12,0.1023732
2092,1,17,0.2096243
2092,1,18,0.4755878
2092,2,13,0.09015363
2092,2,14,0.1573054
2092,3,11,0.0293207
2092,3,12,0.1023732
2093,1,17,0.2096243
2093,1,18,0.4755878
2093,2,13,0.09015363
2093,2,14,0.1573054
2093,3,11,0.0293207
2093,3,12,0.1023732
2094,1,17,0.2096243
2094,1,18,0.4755878
2094,2,13,0.09015363
2094,2,14,0.1573054
2094,3,11,0.0293207
2094,3,12,0.1023732
2095,1,17,0.2096243
2095,1,18,0.4755878
2095,2,13,0.09015363
2095,2,14,0.1573054
2095,3,11,0.0293207
2095,3,12,0.1023732
2096,1,17,0.2096243
2096,1,18,0.4755878
2096,2,13,0.09015363
2096,2,14,0.1573054
2096,3,11,0.0293207
2096,3,12,0.1023732
2097,1,17,0.2096243
2097,1,18,0.4755878
2097,2,13,0.09015363
2097,2,14,0.1573054
2097,3,11,0.0293207
2097,3,12,0.1023732
2098,1,17,0.2096243
2098,1,18,0.4755878
2098,2,13,0.09015363
2098,2,14,0.1573054
2098,3,11,0.0293207
2098,3,12,0.1023732
